in out res
0.1427948801364658 1.8532997716340303 1
3.3512865526397952 1.318592645736146 1
2.6853756408513565 2.9508971227581653 1
4.337069997902768 4.6713935588178055 0
5.765094384199186 5.852982954528139 0
3.5398003442082198 5.1299321328298815 0
3.167553127912217 5.163332340244551 0
5.198998366226853 3.908138499162857 0
1.5258518244863448 3.7750346391804173 1
0.9173632043771809 0.4356148407997851 1
0.18394525445644527 1.4419382513088848 1
3.040329918893796 5.208056970204698 0
1.6088056620163305 3.977221486723747 0
2.363669163491732 3.0708791891794913 1
3.4761953047676033 2.5617874941504164 1
0.7655144019747344 5.265622660223604 0
4.020522494940479 3.965454967163986 0
1.2290069238674306 4.2209288806909075 0
1.3647392476154439 0.80846097801791 1
1.40004469465172 1.1840585758502145 1
4.457560141557154 4.573619330616975 0
4.637887499976203 5.057235038203142 0
1.190389485890595 4.551707787691271 0
4.974835579069117 3.770269857216356 0
2.934687184894691 2.2951887853700197 1
1.1860856450732293 3.219909591622373 1
0.11180898332030731 1.3832725816385563 1
5.743577772700188 1.4552682625809221 0
0.09224350392028802 1.774019811963333 1
5.731094360929853 3.4063982690754275 0
2.8188592647959934 1.7863001605365545 1
3.0896206076778183 5.655291993184687 0
5.984869890012384 2.621124490055674 0
2.6195490482968253 4.539838150616726 0
0.36524731170114455 4.132877374115105 0
2.4958835269165003 2.419555087932924 1
1.6468602663275789 5.644431384978381 0
3.626265716585892 3.401002338734001 0
3.7965635681815955 5.838729037523937 0
4.801205974971099 2.393741062293116 0
4.1169391466437 1.6989004613684862 0
0.4833451289240931 1.0051935124710778 1
4.032406448597833 5.411490185765341 0
0.5877559457796275 0.8831855655372483 1
0.10575474602246437 4.663554069801814 0
0.6409004764938397 2.106691226858743 1
2.647767629183919 5.868993314166634 0
2.906815815696812 2.256006820011335 1
2.580417907419913 4.7063679289729725 0
4.9542485400237695 2.736857053903163 0
5.09456690987591 2.8395854345140723 0
4.7214666281187725 2.9201175154636556 0
4.358835672856045 4.597678527702822 0
1.5228611654849744 4.620628725877707 0
4.337708629628332 1.8026813167883469 0
5.851668173449081 2.4625187426128576 0
5.356123452613598 0.5130382423871698 0
1.350728293554635 0.22908061150172854 1
2.5094586276276227 5.3807576943940765 0
0.78818078155969 1.5433895480589919 1
1.6546346282473632 1.700496368766157 1
4.937287461575112 1.3220076345758391 0
5.238761528589986 5.126335324923277 0
5.108657521498117 0.07667399522316698 0
4.839356885071896 4.797240957372086 0
2.529057514292166 1.2440196539899078 1
1.4090419702844192 4.87456347934434 0
2.4504624197031655 4.19306454645719 0
2.97195888914299 1.5232154247819718 1
2.804085205550045 2.317091082705793 1
2.7779699175394073 0.1568814644157679 0
0.6367453254206605 3.050341429966113 1
0.7126237918621925 4.085030911607442 0
1.8220180670306614 2.878388734212961 1
0.12051511838057483 1.999883852316819 1
5.08720246227357 3.9575108286459337 0
2.7708418423272323 5.128765606461535 0
0.9425463088196797 5.540245500385803 0
0.5865163932556503 5.659500891181126 0
2.6813352619223205 4.2911473130047515 0
1.839211478323389 0.3736499760887755 1
4.305634273942204 3.3606048606335066 0
5.281757418300642 3.4805243693831684 0
5.846937225235402 2.745881115448337 0
1.9530929226170857 4.1349075714001575 0
5.178516255042156 3.8494780089609746 0
3.4794722050894213 2.9438398011060865 1
4.949249385118527 3.9275492405182626 0
0.9584415732617875 2.47974580677536 1
3.898893649205943 0.4621853485846681 0
0.2773251247503117 5.138530856894251 0
5.8172761853084545 3.7724383265671855 0
3.7635124626436176 5.5164569632955605 0
2.503131590966858 0.04136215247842534 0
3.573266014086687 4.28945132098969 0
0.07221582115030989 4.464373433702374 0
3.2279464177824173 0.5362742161625178 1
0.134564981818853 4.1548785622129785 0
4.074625963538198 1.2620882187686684 0
3.685530481543838 3.846207411756133 0
5.169718753670623 2.227211005455339 0
4.339696031515773 4.27366996354101 0
1.1595184850567248 4.950521821520175 0
3.2790012318186044 5.627903033792094 0
2.5803843900942662 1.468548950201539 1
5.380356344696038 5.210808076332878 0
1.7323556132620266 0.4650706566087832 1
4.149055816719589 1.2161734833693814 0
4.423441360208875 4.157146029758366 0
1.1711055978134683 1.8719772015947274 1
3.975948250938743 0.1033610318006013 0
4.316658224229856 1.6369116409073197 0
5.007644378724155 2.0066470499816655 0
3.8343960839404327 5.5955431687092565 0
3.009868945465822 0.6522863690983707 1
0.19500470188701424 3.234545503136655 0
1.3872444145814185 5.579222057195333 0
0.3990042657554129 4.713994131286408 0
5.538266615352979 2.462100708243436 0
4.592180927136395 5.474571367690389 0
3.4304608806545196 3.458992608103384 0
2.5301153517900903 4.703853910466064 0
4.291722988443079 4.061224050735433 0
4.369936287668011 2.0755716908900044 0
4.402399148979514 4.442842247170536 0
5.252695178795611 3.182413696123562 0
2.522828053978301 2.3689867285304635 1
4.7998587019609085 2.786526965422081 0
4.665854852355327 2.9557701704522423 0
2.3719806748600183 5.139182585934995 0
5.658485834977919 3.058361795338558 0
2.9043310415846273 2.8092631247463564 1
0.05608886111071021 5.104817085733089 0
3.754061039817231 0.9376078973634105 0
2.9029390659945347 1.1455329597952475 1
3.1995704108876217 3.255766659775284 1
4.327238718223658 5.008522358470058 0
1.2603793973044142 3.6885797451916362 1
0.9533581334240968 2.0177231495708052 1
4.534731823757273 0.7209725673590657 0
5.5862514884143835 2.042880233493292 0
0.7173691816841496 5.849781784341983 0
1.548015495931398 5.282577284732856 0
3.239034847807364 4.965398998878198 0
5.387112661938098 5.604133764883899 0
0.5339141493119413 3.0546737847555714 1
2.210322664727629 0.6936208598675875 1
2.801019585726565 1.3357487503402274 1
0.2276810616173055 3.902590536609773 0
1.6888629790839724 5.867636362413547 0
5.145708662428864 2.5533990081875237 0
3.4703006749609093 3.139824170051285 1
3.6092874816382277 2.7678275259080225 1
1.0377483184202072 1.1322880745397899 1
0.9698984745679025 3.018609170458272 1
2.8014220289459373 5.919887063034826 0
1.5070715330505835 3.962154218974847 0
2.6231081314376388 1.313536732711984 1
1.2716549756423197 2.397074830916815 1
